id,title,publication,author,date,url
168266,House GOP’s 2010 Tea Party Class Heads For The Exits,NPR,Susan Davis,2016-04-03,http://www.npr.org/2016/04/03/472852016/house-gops-2010-tea-party-class-heads-for-the-exits
167939,Ta-Nehisi Coates On The Fight Over ’Nina Simone’s Face’,NPR,Leah Donnella,2016-03-19,http://www.npr.org/sections/codeswitch/2016/03/19/470721842/ta-nehisi-coates-on-the-fight-over-nina-simones-face
164667,Grocery Stores: ’The Best Of America And The Worst Of America’,NPR,Laurel Dalrymple,2017-05-15,http://www.npr.org/sections/thesalt/2017/05/15/528461703/grocery-stores-the-best-of-america-and-the-worst-of-america
156844,’It’s only working for the white kids’: American soccer’s diversity problem,Guardian,Les Carpenter,2016-06-01,https://www.theguardian.com/football/blog/2016/jun/01/us-soccer-diversity-problem-world-football
152274,Facebook had no right to edit history,Guardian,Erna Solberg,2016-09-09,https://www.theguardian.com/commentisfree/2016/sep/09/facebook-napalm-vietnamese-deleted-norway
165221,The Soprano And The Scientist: A Conversation About Music And Medicine,NPR,Robert Siegel,2017-06-02,http://www.npr.org/sections/health-shots/2017/06/02/530879198/the-soprano-and-the-scientist-a-conversation-about-music-and-medicine
183159,"U.N. expands North Korea blacklist in first U.S., China sanctions deal under Trump",Reuters,Michelle Nichols,2017-06-03,http://www.reuters.com/article/us-northkorea-missiles-un-idUSKBN18T2X3  
170404,"Amid Craft Brewery Boom, Some Worry About A Bubble — But Most Just Fear Foam",NPR,John Ydstie,2016-07-01,http://www.npr.org/sections/thesalt/2016/07/01/482033439/amid-craft-brewery-boom-some-worry-about-a-bubble-but-most-just-fear-foam
211502,Tom Brady’s lawyers missed the point: his innocence,Washington Post,Sally Jenkins,2016-04-25,"https://web.archive.org/web/20160426001232/https://www.washingtonpost.com/sports/redskins/tom-bradys-lawyers-missed-the-point-his-innocence/2016/04/25/fc31fb7c-0b16-11e6-bfa1-4efa856caf2a_story.html
"
175593,"Exclusive: Amazon, Forever 21 vying for bankrupt American Apparel - sources",Reuters,Jessica DiNapoli and Lauren Hirsch,2017-01-05,http://www.reuters.com/article/us-americanapparel-m-a-idUSKBN14O281  
184680,"Global Logistic Properties receives bid proposals, buyout groups seen interested",Reuters,Anshuman Daga and Clara Ferreira-Marques,2017-07-03,http://www.reuters.com/article/us-glp-m-a-idUSKBN19N0ZI?il=0  
178202,U.N. mediator not expecting quick breakthrough in Syria peace talks,Reuters,Tom Miles and Stephanie Nebehay,2017-02-23,http://www.reuters.com/article/us-mideast-crisis-syria-un-idUSKBN16122B  
168860,Every Party But The Real One: A Night Chasing The #WHCD,NPR,Sam Sanders,2016-05-01,http://www.npr.org/2016/05/01/476359835/every-party-but-the-real-one-a-night-chasing-the-whcd
176276,Brexit outline gives pound something to cling to - for now,Reuters,Marc Jones and Patrick Graham,2017-01-17,http://www.reuters.com/article/uk-britain-sterling-outlook-idUSKBN1512S9  
200185,"The state of the Republican presidential race, explained",Vox,Andrew Prokop,2016-4-29,http://www.vox.com/2016/4/29/11519966/donald-trump-winning-republican-primary
182358,Michigan Senate votes to outlaw female genital mutilation,Reuters,Steve Gorman,2017-05-17,http://www.reuters.com/article/us-michigan-mutilation-idUSKCN18D2Z0  
202889,A tale of two Infernos: what Werner Herzog gets that Dan Brown misses,Vox,Alissa Wilkinson,2016-10-28,http://www.vox.com/2016/10/28/13380450/inferno-into-the-inferno-tom-hanks-dan-brown-werner-herzog-spoilers
216740,Considering what America’s choice of Donald Trump really means,Washington Post,Marc Fisher,2016-11-09,"https://web.archive.org/web/20161110000454/https://www.washingtonpost.com/politics/considering-what-americas-choice-of-donald-trump-really-means/2016/11/09/294e824a-a1ff-11e6-8d63-3e0a660f1f04_story.html
"
179349,"Despite budget cuts, Tillerson works to win long-term influence",Reuters,Arshad Mohammed and John Walcott,2017-03-16,http://www.reuters.com/article/us-usa-trump-tillerson-idUSKBN16N35J?il=0  
187630,Uber profits elsewhere support ’sustainable’ spending in China: CEO,Reuters,Sue-Lin Wong,2016-03-25,http://www.reuters.com/article/us-uber-china-idUSKCN0WR0EL  
206620,Deputy national security adviser K.T. McFarland to leave National Security Council post,Washington Post,Abby Phillip,2017-04-09,"https://web.archive.org/web/20170410000244/https://www.washingtonpost.com/news/post-politics/wp/2017/04/09/deputy-national-security-adviser-k-t-mcfarland-to-leave-national-security-council-post/
"
205340,"Omar Abdel Rahman, imprisoned ‘blind sheikh’ linked to terrorist efforts, dies at 78",Washington Post,Matt Schudel,2017-02-18,"https://web.archive.org/web/20170219005014/https://www.washingtonpost.com/world/omar-abdel-rahman-blind-sheik-convicted-in-1993-world-trade-center-attack-dies-at-78/2017/02/18/807c4f2c-f603-11e6-8d72-263470bf0401_story.html
"
213422,The men who gave us Brexit have all destroyed each other in two weeks flat,Washington Post,Griff Witte,2016-07-08,"https://web.archive.org/web/20160709002000/https://www.washingtonpost.com/news/worldviews/wp/2016/07/08/the-men-who-gave-us-brexit-have-all-destroyed-each-other-in-two-weeks-flat/
"
216781,A nightmare scenario for progressives under a Trump presidency,Washington Post,Greg Sargent,2016-11-10,"https://web.archive.org/web/20161111000428/https://www.washingtonpost.com/blogs/plum-line/wp/2016/11/10/a-nightmare-scenario-for-progressives-under-a-trump-presidency/
"
212971,Democrats stage sit-in on House floor to force gun-control votes,Washington Post,Karoun Demirjian,2016-06-22,"https://web.archive.org/web/20160623001043/https://www.washingtonpost.com/news/powerpost/wp/2016/06/22/democrats-stage-protest-on-house-floor-to-force-gun-control-votes/
"
